"studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"Gargaglione2010","","","?","","","","","","","","","","","","","","","","?","","","?","","","m3,x1","?","?","?","?","","?","?","?","?","","","","","","","","","?","?","?","?","?"
"Ghannoum2010a","","","","a1","","","","","","","","","","","","","","","?","","d1,f","","","","m4,x6","","","","m3","","","","","m3","","","m4,a1,x6","","","","","","","","","",""
"Ghannoum2010b","","","","a1","","","","","","","","","","","","","","","?","","d1,f","","","","m4,x6","","","","m3","","","","","m3","","","m4,a1,x6","","","","","","","","","",""
"Goto2003","","","?","a1,e1,a4","","","","","","","","","","","","?","","","?","?","?","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"Hagihara1993","","","?","e1,a4","","","","","","","","","","","","","","","?","?","d4","d3","","","m4,x1","","","","m4","","m4","","","m4","","","","","","","","","","","","",""
"Hamilton2005","","","","","","","","","","","","","","","","","","","?","","","d3","?","","m4,x1","","","m4","","","m4","","","","m4","","","","","","","","","","","",""
"Harada1972","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","mx,x1","","","","mx,e2","mx","mx","","","mx","mx","","","","","","","","","","","",""
"Harja2012","","l7","","","","","","","","","","","","","","","","","?","?","","?","f","","","","","","","","","","","","","","","?","","","","","","","","",""
"Haruki1979","","","","","","","","","","","","","","","","","","","?","","?","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"Hashizume1980","","","?","","","","","","","","","","","","","","","","?","?","","d3","","","mx,x1","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
