"Dbh.QSM","Stem.mass","Branch.mass","Total.mass","Total.height","plot","tree","CO2"
13.8,79.95,48.052,127.92,12.9,"plot 4",40,"ele"
13,79.786,38.95,118.9,16.9,"plot 4",41,"ele"
14.1,99.22,30.996,129.56,13.1,"plot 5",1,"ele"
24.9,318.16,66.666,384.58,21.5,"plot 5",2,"ele"
40,387.04,197.62,584.66,20.7,"plot 5",3,"ele"
25.8,187.78,7.8392,195.16,15.8,"plot 5",4,"ele"
30.4,446.9,207.46,654.36,21.1,"plot 5",5,"ele"
24.3,248.46,63.796,312.42,20.2,"plot 5",6,"ele"
13.8,87.74,29.684,117.26,14.4,"plot 5",7,"ele"
25.9,328.82,132.02,460.84,18.7,"plot 5",8,"ele"
16.9,77.408,0.51496,77.9,11.1,"plot 5",9,"ele"
16.8,100.86,104.96,205.82,11.3,"plot 5",11,"ele"
18.1,128.74,67.568,196.8,12.5,"plot 5",12,"ele"
23.6,322.26,202.54,524.8,18.8,"plot 5",13,"ele"
28.3,437.88,105.78,543.66,21.2,"plot 5",14,"ele"
17.7,182.86,145.96,329.64,18.4,"plot 5",15,"ele"
24.5,355.06,252.56,607.62,22.1,"plot 5",16,"ele"
12.7,80.606,41.41,122.18,8.26,"plot 5",17,"ele"
14.2,100.04,58.384,158.26,14.8,"plot 5",18,"ele"
28.9,413.28,175.48,588.76,20,"plot 5",19,"ele"
20.2,157.44,117.26,274.7,12,"plot 5",20,"ele"
28,397.7,256.66,653.54,20.8,"plot 5",21,"ele"
39.3,315.7,173.84,489.54,21.3,"plot 5",22,"ele"
15.4,173.02,134.48,307.5,14,"plot 5",23,"ele"
30.1,366.54,49.692,415.74,21.5,"plot 5",24,"ele"
12.5,61.336,11.316,72.652,9.73,"plot 5",25,"ele"
19.2,281.26,851.16,1132.42,13.3,"plot 5",26,"ele"
16.3,112.34,144.32,256.66,14.8,"plot 5",27,"ele"
30.3,301.76,86.92,388.68,20.2,"plot 5",28,"ele"
23.6,177.12,94.3,271.42,15.9,"plot 5",29,"ele"
12.1,315.7,107.42,423.94,22.5,"plot 5",30,"ele"
18.5,203.36,66.666,269.78,16.4,"plot 5",31,"ele"
20.7,202.54,128.74,331.28,16.4,"plot 5",32,"ele"
37.6,398.52,141.86,540.38,21.5,"plot 5",33,"ele"
35,511.68,305.86,817.54,22,"plot 5",34,"ele"
