Ring,Tree,CO2-trt,Classif,Coord1-N,Coord2-E,Height,Height (ML),Height (CC),Diameter,Dia (ML),Dia (CC),Scalar field (CC)
5,518,elevated,Suppressed,9.35,0.1,14.4,,,15.72,,,
5,519,elevated,Codominant,8.6,-0.8,21.1,,,22.79,,,
5,520,elevated,Suppressed,12,-2.55,12.7,,,18.83,,,
5,521,elevated,Suppressed,7.8,-3.2,16,,,18.83,,,
5,522,elevated,Codominant,2.1,-2.7,22.1,,,21.38,,,
5,523,elevated,Dominant,5.2,-5.25,21.2,,,23.71,,,
5,524,elevated,Suppressed,1.25,-7.7,13.3,,,15.1,,,
5,525,elevated,Dominant,2.7,-10.9,21.8,,,27.83,,,
5,526,elevated,Codominant,0.8,-10.4,20.2,,,21,,,
5,527,elevated,Suppressed,0.25,-8.7,NA,,,14.94,,,
5,528,elevated,Suppressed,-5.25,-7.7,19.4,,,22.72,,,
5,529,elevated,Suppressed,-6.4,-3.8,11.5,,,17.65,,,
5,530,elevated,Dominant,-7.1,-3.6,19.4,,,26.16,,,
5,531,elevated,Suppressed,-8,-3.75,12.8,,,18.33,,,
5,532,elevated,Suppressed,-10.2,-0.55,18.7,,,19.83,,,
5,533,elevated,Codominant,-11.2,1.3,22.2,,,29.85,,,
5,534,elevated,Codominant,-2.75,9.8,20.2,,,43.38,,,
5,599,elevated,Codominant,NA,NA,NA,,,21.5,,,
6,601,ambient,Suppressed,-10.8,1,22.8,,,28.13,,,
6,602,ambient,Suppressed,-10.8,1,16.9,,,18.24,,,
6,603,ambient,Dominant,-8.4,0.8,12.3,,,55.49,,,
6,604,ambient,Suppressed,-5.8,1.7,15.4,,,25.7,,,
6,605,ambient,Suppressed,-8.35,9.3,20.7,,,16.85,,,
6,606,ambient,Suppressed,-1.3,4.45,11.5,,,21.16,,,
6,607,ambient,Dominant,0.3,7.2,14.9,,,45.53,,,
6,608,ambient,Suppressed,-0.3,3.85,20.5,,,17.44,,,
6,609,ambient,Suppressed,2,4.7,7.9,,,18.6,,,
6,610,ambient,Codominant,6.9,9.25,19.5,,,26.19,,,
6,611,ambient,Suppressed,7.8,4.3,17.2,,,16.69,,,
